reading_id,tube_id,lactate_concentration,acetate_concentration
R062,T086,0.75476437232992,0.12608919775453176
R063,T090,0.09054254147058871,0.2497241367150379
R064,T086,0.15786338385508947,0.5587533279996163
R065,T082,0.9384426082174494,0.11336719428290998
R066,T035,0.9243423166851,0.2323863307795362
R067,T049,0.9342351311223982,0.4095253155173624
R068,T000,0.001867244132735868,0.9119117525856523
R069,T098,0.33287069684813264,0.11158892635964357
R070,T085,0.5583452544938338,0.04614197798588515
R071,T081,0.5258286253307329,0.7815210226144733
R072,T065,0.18255317653332093,0.6892323835640866
R073,T042,0.2469621107167268,0.8573306870518314
R074,T119,0.4597908310104035,0.9134484042037623
R075,T110,0.5769068951367162,0.8660186896714864
R076,T082,0.09783820622172101,0.14334842554725713
R077,T002,0.7640684042210717,0.1250339502791491
R078,T022,0.5557772080861113,0.5095604034582528
R079,T042,0.7383592121335398,0.4865894618546104
R080,T009,0.8388174959373039,0.6766403691759569
R081,T062,0.40684406223520975,0.6219120853444453
R082,T123,0.8327094014215816,0.4241270620319444
R083,T087,0.9197855914903925,0.421151508620938
R084,T100,0.5716884969364706,0.6448974216537848
R085,T084,0.33499469176881336,0.753517029612559
R086,T065,0.7217293348748591,0.6685199926807616
R087,T021,0.9012276799131552,0.7759367686764054
R088,T060,0.752963343446165,0.7746618911679922
R089,T050,0.9292994429845203,0.5059796403603134
R090,T086,0.9673802583602203,0.7205063681690695
R091,T045,0.9306123464763543,0.9225588399856787
R092,T054,0.7978386476602525,0.7320779386945072
R093,T040,0.10826744833252255,0.31165625235305416
R094,T008,0.49803238460147026,0.4728629678279296
R095,T103,0.19102481694220208,0.9841239962034931
R096,T033,0.7698663135394029,0.027055707014539965
R097,T058,0.7782644528618559,0.26092841166961855
R098,T023,0.4421914397936135,
R099,T105,0.1208043404978495,0.47677252139730686
R100,T051,0.8198419380870587,0.3487532416589977
R101,T056,0.1061146700958071,0.7740033841090296
R102,T000,0.5380583775432993,0.7942638659962904
R103,T088,0.2888499326202507,0.6412301539244084
R104,T058,0.9466571939041962,0.9710523615947018
R105,T097,0.0741161124776305,0.6113380727949352
R106,T098,0.6109612729100626,0.729394334857764
R107,T109,0.6718238800365443,0.1825196832298256
R108,T006,0.9493810800583209,0.539841643941023
R109,T030,0.8913468952523934,0.8181837382835903
R110,T115,0.7722898384161705,0.9155406287979857
R111,T001,0.9946392437299649,0.8915054389691845
R112,T010,0.5095640538020481,0.714080179981342
R113,T115,0.44508736015508676,0.9580843362040057
R114,T091,0.3568816144153334,0.8564355767890821
R115,T043,0.396051769654728,0.015082770445530969
R116,T065,0.16158986931031083,0.23294594676236358
R117,T123,,0.07063790008625959
R118,T005,0.007421686501509872,0.8849363358952133
R119,T043,0.021841310279523962,0.02127737525420137
R120,T015,0.8502417037975838,0.9322054227567522
R121,T000,0.388484082386941,0.2699507092347837
R122,T017,0.44559130309688666,0.8123497084090346
R123,T097,0.7802268057822832,0.544457427998176
R124,T006,0.5923133784633915,0.7314336764985794
R125,T041,0.09551214734043711,0.9686466883394796
R126,T090,0.013002394741104317,0.0017029990776833426
R127,T106,0.5149110663706372,0.00641514515623165
R128,T087,0.43404861469528755,0.7950271391683499
R129,T121,0.016230923576692424,0.34130521489909604
R130,T051,0.5564760120806591,0.40993121963546886
R131,T116,0.7442722509978719,0.7417741489373673
R132,T086,0.05069733554735234,0.8183777194092483
R133,T038,0.8851735450292627,0.8374105986992181
R134,T124,0.5410591729009615,0.6945030857730455
R135,T000,0.7652056573069727,0.6288372036608484
R136,T046,0.5208957637359096,0.6660183373059778
R137,T098,0.5137241116151411,0.47651811340074046
R138,T027,0.9800249520289802,0.25436490627494
R139,T017,0.15055534615903154,
R140,T110,0.7940112679100861,0.31889159527903443
R141,T016,0.7005085986196938,0.8752199095286499
R142,T100,0.9299292609027756,0.9074375659580781
R143,T084,0.17666826653532142,0.14887300662838543
R144,T080,0.2575624341953201,0.9202716714580927
R145,T111,,0.9809617622331757
R146,T057,0.31167661048128537,0.4820900521294891
R147,T109,0.8204920841918926,0.8194734710319701
R148,T007,0.7120203497784876,0.5637679488127204
R149,T025,0.9829067393581026,0.18164844797347723
R150,T106,0.9541049655650711,0.15575522708046963
R151,T107,0.001937705737824258,0.3963491011094349
R152,T121,0.2541199775040558,0.4334291245480286
R153,T064,0.7350939965074965,0.4918621324080551
R154,T076,0.26965582251926357,0.5816168373239142
R155,T094,0.9376021266260982,0.09838718971522009
R156,T108,0.7914557163458504,0.15295881166384373
R157,T058,0.9583556455253069,0.9345517974186924
R158,T113,0.15521719373072107,0.705125227664248
R159,T1080,0.4712442361389807,0.19590951504632637
R160,T012,0.3790272567415729,0.733460636292606
R161,T104,0.5900835449059159,0.0540473879256389
R162,T124,0.059439053832317734,0.9705458763062138
R163,T063,0.4548387860505321,0.8034130350160704
R164,T094,0.4381891958021723,0.6138685101685523
R165,T079,0.4417126160393354,0.09129157775375096
R166,T020,0.9539099669181634,0.6896474664923165
R167,T114,0.6264296681812447,0.1684865127945201
R168,T122,0.6414923620756184,0.6749476415525313
R169,T121,0.6102326181208538,0.3147313355221324
R170,T003,0.821498871155153,0.343140397438939
R171,T116,0.9926558568082687,0.12296526458408163
R172,T042,0.26158971608726933,0.8088207841796765
R173,T058,0.5443922629024841,0.3101321763651711
R174,T084,0.4492610313335621,0.8901916413828731
R175,T091,0.8097371948811684,0.259382032947836
R176,T067,0.4814438832251139,0.8467241394785426
R177,T054,0.8934701654425631,0.0031378126947795293
R178,T035,0.0312151646349188,0.2814506106479099
R179,T057,0.3051935968250271,0.760474367898716
R180,T117,0.3702065965271074,0.8090391563949687
R181,T067,,0.397240211002035
R182,T080,0.532069259431522,0.6191710690696781
R183,T037,0.5565953749718234,0.5794104755150367
R184,T080,0.892252078913013,0.5039291030131428
R185,T063,0.7269209481600137,0.9418367882658747
R186,T054,0.7813777588880483,0.5017681751952827
R187,T003,0.9050352234537766,0.3248639161414646
R188,T032,0.06335430325259161,0.46893059179813923
R189,T076,0.7856501067610272,0.8534198346696968
R190,T092,0.0696722255260005,0.16384957856429616
R191,T069,0.4348587905295057,0.43791987199154836
R192,T042,0.04448513341194882,0.7751198877477459
R193,T039,0.2517140274370525,0.19513352486889124
R194,T069,0.5199185882285028,0.7570061194397045
R195,T108,0.20901339380570882,
R196,T081,0.05640637034293716,0.9418939198916656
R197,T093,0.17929398197743962,0.7537413185865355
R198,T027,0.2512194149401663,0.08778261493146633
R199,T070,0.6505651108821592,0.4113147323852451
R200,T112,0.7392644184561559,0.8765258938211872
R201,T027,0.9500433876338618,0.06060938180504505
R202,T032,0.548998231682091,0.472375991732363
R203,T018,0.13036741500205185,0.19430186472797795
R204,T108,0.3296006662201977,0.3976153768120054
R205,T109,0.8536639083391234,0.13427733934333108
R206,T097,0.31645754149613714,0.8071627031763977
R207,T054,0.298014888507641,0.7449903454864923
R208,T015,0.6854372022856412,0.18878745525534313
R209,T008,0.8793406341175207,0.7203056509193567
R210,T032,0.9952784900285466,0.6579606566194638
R211,T106,0.7538467388750976,0.1052991744127848
R212,T101,0.021571867476741446,0.5793282362882041
R213,T118,0.3102069035071704,0.2758608134764967
R214,T034,0.8045327163444661,0.415033192370471
R215,T109,0.7115502020754997,0.6771522981045629
R216,T100,0.7203038869444491,0.5400133877723975
R217,T044,0.9172260834443636,0.1363730761653288
R218,T031,0.004031968077731984,0.9277846861743486
R219,T067,0.7548758721981396,0.571546404217551
R220,T082,0.6484393637260577,0.040168602026270595
R221,T012,0.9834314009984922,0.4678483033965265
R222,T017,0.513369509714516,0.5637563222639578
R223,T020,0.5299666861936935,0.5169079114555303
R224,T110,0.7846328742155237,0.5524941913743553
R225,T081,-0.8313046794231762,0.30399880514949673
R226,T004,0.2570235909650873,0.6032358516721121
R227,T035,0.8491090514850993,0.32997833539988564
R228,T023,0.6554237069204881,0.08675819564014908
R229,T005,0.07635561839602534,0.5486306938150612
R230,T048,0.7250484197199815,0.19042913103923897
R231,T098,0.01528473274549369,0.9965704208128189
R232,T072,0.871187585784148,0.25720046471241853
R233,T101,0.4525460483809737,0.5408317888425057
R234,T120,0.5765120191806434,0.7856351967532714
R235,T102,0.380358172113586,0.7097714446980689
R236,T117,0.079888450735636,0.4388229171833179
R237,T031,0.9174937568647196,0.3108666058334232
R238,T003,0.3192290997651326,0.21159206343112835
R239,T054,0.5067338082440878,0.13016782579671937
R240,T007,0.7802612700221507,0.5258070452966999
R241,T025,0.09142719329274107,0.7395801542464564
R242,T117,0.3095644243183293,0.11609927431880918
R243,T082,0.608095634550661,0.8316294924181015
R244,T016,0.10973718470664429,0.6175149756511299
R245,T056,0.05755986266889246,0.7913858743655803
R246,T092,0.11864017371664914,0.9574054509269837
R247,T059,0.16490969841452197,0.21163162531536883
R248,T038,0.9579258987516169,0.03321273488345022
R249,T108,0.5367757504872697,0.43355073559303015
R250,T077,-0.35096130878765397,0.6788456659079506
R251,T088,0.17540228779028466,0.9539844336167663
R252,T034,0.4390683744093131,0.7509381377880587
R253,T083,0.7347076901230485,0.4444622763842375
R254,T074,0.7076110003721253,0.19678186300772327
R255,T077,0.6018107936566717,0.7245508651578673
R256,T070,0.9536848917143812,0.7898651869388567
R257,T034,0.18860625997926672,0.6159586994274315
R258,T068,0.7616702389098491,-0.6676120788818348
R259,T062,0.44968802952436204,0.3424499871595571
R260,T111,0.3846660084398018,0.7504950717689939
R261,T074,0.6953620145744408,0.051189730590277205
R262,T059,0.8922892787143655,0.6384976652042369
R263,T083,0.5402263388276299,0.9702583761828929
R264,T050,0.7252856921853278,0.3597948513920217
R265,T120,0.7846748018982507,0.5668422707952426
R266,T020,0.1158098540042305,0.7600682878850951
R267,T117,0.33099565466459724,0.4385694546877471
R268,T047,0.07207237702661351,0.32956446804811423
R269,T057,0.6547106882093253,0.8534668719884722
R270,T060,0.8197430099069049,0.579965592948055
R271,T114,0.19294997100128586,0.8368619944121884
R272,T030,0.9729389652169893,0.865671296831471
R273,T016,0.6352037737111551,0.11861275029012952
R274,T114,0.94748680071267,0.4420044200647122
R275,T003,0.10905317320810348,0.5367876154383528
R276,T005,0.23638537573263751,0.15422942954373708
R277,T060,0.7600758283662835,0.7149401094332616
R278,T020,0.48583415027989907,0.51183358330616
R279,T078,0.7794505134826548,0.6862933690844187
R280,T040,0.4846855203265906,0.47160452010453713
R281,T040,0.8751610607425976,0.43159427361202807
R282,T066,0.002766646234769521,0.17086787929778213
R283,T090,0.9037824380246344,0.1146285140521146
R284,T069,0.3838325809481874,0.3342712361648532
R285,T103,0.744258230797646,0.591560619952929
R286,T060,0.6454579469248986,0.5053017137885634
R287,T115,0.9622443682154821,0.9312150777158757
R288,T058,0.982186762720176,0.26592599465092215
R289,T026,0.7907318570359401,0.6917813273510428
R290,T105,0.5342642837971506,0.23224683367121424
R291,T039,0.5116311442205962,0.8710766342281719
R292,T102,0.5368377380504431,0.10196368585609883
R293,T080,0.19001163768268858,0.6055177114389152
R294,T039,0.6170803982044747,0.8498136477788828
R295,T083,0.43849691558500004,0.6791470919975399
R296,T124,0.295582006357325,0.24784325546260233
R297,T097,0.4156796658256937,0.5960125853313468
R298,T080,0.5199819761484152,0.29825518866603995
R299,T068,0.28015698775305964,0.7267242465224442
R300,T020,0.3484479806010883,0.030874069814226468
R301,T071,0.005690459034545237,0.811133069995042
R302,T093,0.8623569234645702,0.6643480075970916
R303,T090,0.8184125726828623,0.23385203651292374
R304,T065,0.01213760041606049,0.3529509033216556
R305,T034,0.7260791527073638,0.9069462210700673
R306,T079,0.9011118087218208,0.7433154000967737
R307,T117,0.17364942885025747,0.3079381874036732
R308,T040,0.7932176379346964,0.49423036167248047
R309,T121,0.8582518897689673,0.7655358924413465
R310,T059,0.6616666173110046,0.5745711196713312
R311,T030,0.9393119315948407,0.06881659028947373
R312,T003,0.8028293299456511,0.11207401814284945
R313,T115,0.5314749636299622,0.1576721555876066
R314,T008,0.9738403970840463,0.7130667801792947
R315,T015,0.6957359262574118,0.673837591751729
R316,T015,0.7503718570732069,0.43787711507646965
R317,T069,0.029915620092514583,0.7101044539909219
R318,T017,0.5702222618966186,0.15923383522842827
R319,T065,0.7991506998723741,0.9746411578910629
R320,T048,0.08870426659683173,0.21540000511897017
R321,T046,0.35402474394094796,0.6517934816249081
R322,T122,0.20807975644473686,0.1368034508985908
R323,T104,0.888519181001598,0.3971417033741528
R324,T069,0.1826775084626553,0.8429661947127707
R325,T103,0.2606099934382663,0.4469919213210751
R326,T068,0.6498437563461819,0.7739543947746416
R327,T055,0.8433328844991307,0.9274670124497008
R328,T047,0.18648194405977692,0.5048542312085713
R329,T052,0.8575218047447616,0.9030516125097604
R330,T029,0.6740320794422913,0.8873257083320231
R331,T085,0.20608360425354122,0.22626698516016752
R332,T083,0.8921497197565823,0.3400594007856165
R333,T092,0.9970418207380418,0.43678197812680275
R334,T110,0.3090748139103904,0.636743240307139
R335,T051,0.9618479181392,0.7727320198197668
R336,T040,0.885368493489023,0.11498433764570481
R337,T085,0.12269200731108243,0.30024018383291007
R338,T012,0.18478516851624383,0.7471283574821966
R339,T056,0.567603818408293,0.14815259946642612
R340,T039,0.7498363270408517,0.39829004498582354
R341,T110,0.23450946129392247,0.7006691061222422
R342,T022,0.9405285075540446,0.9795886515781105
R343,T095,0.4084814139412689,0.7532528109086969
R344,T045,0.20710303467194535,0.05198670653098181
R345,T095,0.04556235649654938,0.33609968154815495
R346,T090,0.4621254628301903,0.26852050491409707
R347,T030,0.9585246057902912,0.9943531200907927
R348,T102,0.35757875465009903,0.4556675610188655
R349,T101,0.33622417849401065,0.555582501578299
R350,T024,0.07068241802308084,0.448530760375886
R351,T029,0.508350553580494,0.4895345711522372
R352,T031,0.036841644518311845,0.8228784907958286
R353,T103,0.8312420292173539,0.6331716968282269
R354,T018,0.8019423828073529,0.15895836424970922
R355,T074,0.4894079475401635,0.2886481397380495
R356,T064,0.8968129794165768,0.03832029035053619
R357,T112,0.24450501916805145,0.256081758428525
R358,T118,0.04349248983857279,0.5570958294909916
R359,T114,0.5711297987416186,0.4103286603811951
R360,T012,0.2688256876631747,0.0471130250956745
R361,T046,0.6191314081516406,0.14432938037137444
R362,T103,0.7754289906403647,0.5877132751535049
R363,T025,0.5161261543802388,0.2120289266564238
R364,T043,0.6220080065095663,0.6841589294391982
R365,T111,0.2889151039390906,0.4403260549655238
R366,T053,0.0967433350030461,0.5195277988698278
R367,T048,0.22493552377012316,0.9050460100488578
R368,T099,0.21006427582238485,0.5811611046466956
R369,T101,0.3018213644120822,0.1694839309743934
R370,T123,0.019434949547163516,0.46784160349720005
R371,T124,0.4697785436294951,0.018916681555928294
R372,T091,0.17712058822116272,0.7520792992011378
R373,T061,0.8744778448475912,0.15131114480015495
R374,T023,0.4541953182379349,0.11263679107053182
R375,T074,0.5448905012951205,0.2830349758128661
R376,T113,0.8058212557628283,0.09731836813821948
R377,T073,0.3083571030869736,0.9011556096299115
R378,T092,0.5802492742982513,0.33800437915599335
R379,T099,0.29379338181127035,0.5989426170930164
R380,T097,0.47611184432517994,0.6406831334083157
R381,T055,0.3173652896164808,0.8004813123480906
R382,T083,0.2497618856020145,0.7139407809727163
R383,T072,0.9833913921226288,0.7164653507137021
R384,T065,0.9764933451762071,0.15088866397408118
R385,T073,0.2669814639732323,0.7323475364091285
R386,T043,0.05755642581120779,0.17607288170139856
R387,T006,0.7073760766609184,0.4366401880999433
R388,T037,0.9497506402922402,0.6118649343993059
R389,T081,0.08313605515596711,0.6602595817985311
R390,T118,0.5532793788446697,0.24445841127409706
R391,T004,0.20754247917469626,0.39904024342039324
R392,T101,0.5592865375607637,0.8368564661365777
R393,T089,0.38911437642413915,0.10921412562136268
R394,T054,0.4386711206167182,0.25667998436697936
R395,T085,0.6692154650948147,0.25342585453783195
R396,T063,0.22691606241891282,0.10498046354619373
R397,T122,0.6232324468896703,0.006505939673112748
R398,T052,0.9648516867524478,0.14257393036544064
R399,T032,0.36106144935547846,0.7440321247035856
R400,T108,0.5553805154545406,0.2782308594312689
R401,T006,0.4481899480758397,0.019297668155637826
R402,T116,0.10705472045996434,0.36384572382070013
R403,T006,0.7941456214348728,0.3548833201950031
R404,T052,0.49102604639572256,0.20860207818121956
R405,T051,0.1122225343733485,0.7283267562844589
R406,T122,0.6891810590275476,0.5532657611151939
R407,T029,0.47625399916567623,0.6180469933713779
R408,T086,0.44458268751203367,0.8865951759657279
R409,T079,0.6906760050720966,0.3766649095598106
R410,T029,0.2421925916310842,0.20001566028312467
R411,T122,0.15609056393110443,0.14735313108458314
R412,T115,0.7331757139528545,0.44820470650656286
R413,T033,0.2805893341530389,0.9848675954870209
R414,T084,0.73850868796577,0.9895464804380661
R415,T027,0.6008556616632594,0.3855598070685835
R416,T011,0.14780991709250346,0.4758241432964828
R417,T066,0.5686206023842231,0.9841134673291407
R418,T068,0.07600895680504927,0.24560188656786164
R419,T044,0.629156249283455,0.5247230415702033
R420,T071,0.6887763519203544,0.8909814445871245
R421,T094,0.13834570966411852,0.7790975420678973
R422,T023,0.09446856744562404,0.6753165129281019
R423,T010,0.8947969943946075,0.7809365098627752
R424,T047,0.6864496672750264,0.31503717735553494
R425,T073,0.7545306957840816,0.24860860821998576
R426,T068,0.16669853977290783,0.6052453738781753
R427,T098,0.5347501600775314,0.44431787522328825
R428,T100,0.8434817453174266,0.7425446414736497
R429,T115,0.9791644595069731,0.2104459726908403
R430,T005,0.7806364831219605,0.8047290927991211
R431,T009,0.2848000321542017,0.7611352467456709
R432,T004,0.6458904989542492,0.3020417203930945
R433,T048,0.2896452790103401,0.337575302908273
R434,T017,0.0851605656509763,0.9370204801000793
R435,T114,0.7414060338799224,0.8615539425376928
R436,T110,0.41784102744627516,0.8376420888050264
R437,T042,0.9639590495547752,0.6724803699368272
R438,T028,0.1632341061672653,0.9524346234178521
R439,T075,0.40413205551623044,0.8372848804186989
R440,T041,0.12467834027840607,0.6838388057307759
R441,T030,0.7964427814130105,0.009050506697399485
R442,T044,0.9306135602106799,0.820233083074509
R443,T076,0.2858384356471503,0.9866851506667769
R444,T111,0.05728874005682061,0.12077316779457026
R445,T094,0.31656055500222013,0.6705348718251284
R446,T108,0.3854473426581234,0.25684850252034375
R447,T006,0.2162072635040141,0.21457808212804252
R448,T075,0.46401588491946966,0.17350668916736112
R449,T069,0.4073908638922078,0.9645428127371343
R450,T033,0.18114643632114646,0.539379673440325
R451,T074,0.007175697763663114,0.5694341900292184
R452,T056,0.9948963293550055,0.2631319540718413
R453,T033,0.9294215431763301,0.4078458538905746
R454,T052,0.3233863251177226,0.03076852150938214
R455,T001,0.7903298882183755,0.43759671736433103
R456,T098,0.77057053443023,0.6254505226395122
R457,T109,0.4630371129654062,0.03416279512996068
R458,T026,0.41910459353887475,0.2323131253381292
R459,T071,0.12633131194835678,0.22118145853417626
R460,T059,0.8186161692347067,0.5110276965143188
R461,T015,0.6042726529336226,0.9880066001285085
R462,T125,0.5484752482962171,0.27420860310271167
R463,T083,0.8887654726693706,0.4302999353158894
R464,T002,0.5289607673965129,0.9543978404357671
R465,T017,0.6792811640339664,0.3750445863102774
R466,T017,0.46880924529954326,0.8776393405413819
R467,T083,0.03233439058045151,0.0001965890202353382
R468,T116,0.1395022651119988,0.661799743545391
R469,T010,0.03242826731066173,0.9996081915691751
R470,T085,0.7221689046546772,0.6218023406666736
R471,T051,0.29286786631672335,0.5300835915581668
R472,T029,0.53343470238336,0.9357212406051859
R473,T070,0.004433181769004979,0.32342484145674844
R474,T120,0.5900320769589548,0.9291642155025017
R475,T059,0.3194350712458973,0.5780772253892165
R476,T118,0.35623694341054923,0.045283590547691266
R477,T033,0.6306472500711364,0.7381279361286097
R478,T060,0.7295271685032098,0.9421033276277366
R479,T081,0.3399682452751206,0.12770536370655972
R480,T006,0.6496794329875246,0.9438618459585685
R481,T034,0.44388229024884973,0.43505087721122715
R482,T118,0.10172359160924882,0.8555583218527124
R483,T125,0.35366949387632995,0.2799073577839206
R484,T031,0.48788267154956755,0.4416767721089522
R485,T106,0.5523471295772525,0.2898778897978955
R486,T074,0.7030007525825914,0.8917080758678445
R487,T042,0.045384828406355826,0.6657986085895105
R488,T078,0.24931445324550938,0.48172228659782224
R489,T048,0.13611431609081737,0.9700155156006008
R490,T039,0.9865888036987575,0.7686235324520654
R491,T065,0.8100772074339987,0.636193083832648
R492,T078,0.6536103708791172,0.5427086435413353
R493,T052,0.8860466383048837,0.3668671173817083
R494,T060,0.4237851653736514,0.3810514220305017
R495,T078,0.6500296242693532,0.8591804408859354
R496,T008,0.9121956678214143,0.44836416108049526
R497,T098,0.41492157493899595,0.5643055602843555
R498,T091,0.22558553514060065,0.9419379162005445
R499,T016,0.26504841733599527,0.530534898949658
R500,T004,0.015122239052858033,0.7502414635267981
R501,T087,0.6033270687630493,0.1813821797334213
R502,T023,0.1858674955935613,0.060606674505478186
R503,T104,0.5777973972027665,0.5425530562374941
R504,T076,0.47881203246757864,0.5536287013191498
R505,T006,0.8666067985718289,0.1430775749272446
R506,T005,0.6066564299344063,0.0759823091615488
R507,T086,0.4232928811965112,0.35680350629835755
R508,T087,0.5843597380454725,0.07933086932262268
R509,T001,0.06909529777017065,0.2598787978389344
R510,T039,0.5961831444129947,0.7165815496136605
R511,T002,0.9285758385352832,0.6256952761843413
R512,T083,0.7942301375315229,0.7331070196339984
R513,T019,0.9423881037113008,0.03113671345305613
R514,T118,0.36120962454344774,0.40963807922526796
R515,T032,0.27016536383126033,0.17307811517154825
R516,T037,0.9813351099727994,0.7541955818538497
R517,T097,0.26766801137671714,0.22544523698509078
R518,T063,0.5099678259161288,0.7811917865385662
R519,T043,0.4163326904739072,0.48891252815339903
R520,T072,0.7605650462506752,0.3271832499861417
R521,T039,0.06621470077622937,0.5099988313914855
R522,T003,0.3098115076943112,0.28863927696017677
R523,T046,0.7398572307731407,0.3894041342616109
R524,T084,0.9530233840179233,0.07359484610174372
R525,T045,0.06965753215862303,0.030251655042375813
R526,T057,0.19325268635436688,0.5834245574986319
R527,T082,0.4442915019037337,0.34460248165075447
R528,T013,0.5035868438619812,0.5653171900228324
R529,T062,0.5325451184074266,0.6538503094194029
R530,T032,0.2322655488359462,0.17097141579450748
R531,T094,0.31390646324960714,0.9741958506361563
R532,T104,0.3942151264583911,0.10655414679809139
R533,T100,0.12723630805537578,0.15559559416185487
R534,T078,0.79301742766715,0.1942665277161174
R535,T069,0.40231241249897876,0.9041737282630592
R536,T086,0.08102689917755501,0.05104375089988067
R537,T097,0.27237912458881464,0.13832367417020952
R538,T001,0.6754659421383263,0.22948132524651577
R539,T044,0.44049496951477596,0.18821911328258667
R540,T116,0.5168032638179672,0.9415513028282121
R541,T065,0.8628027456748228,0.09179446022576132
R542,T074,0.0846248199974673,0.7307360421062827
R543,T095,0.09619788996891143,0.8842313719807964
R544,T059,0.12552082946044318,0.3891424006120803
R545,T011,0.7152403853313414,0.21919173595776875
R546,T074,0.477029415525676,0.49065573817505204
R547,T035,0.3566727843136561,0.42074614734533033
R548,T021,0.4262709161087316,0.8153526594509408
R549,T068,0.6562199021870618,0.9231810823690594
R550,T110,0.1916134545227276,0.14301938992233576
R551,T003,0.8393161729825563,0.41577626273180956
R552,T121,0.13955145224545873,0.44601417850830827
R553,T092,0.059449147943011704,0.42252960828463626
R554,T078,0.28237348582910504,0.789254870826966
R555,T063,0.6360123742877016,0.22782104343982024
R556,T003,0.30721619603128025,0.6448375453621807
R557,T067,0.3702968311715691,0.8182124905189131
R558,T048,0.8209404243420967,0.07273250242320017
R559,T001,0.6132060973514022,0.9553171525356682
R560,T074,0.46012870642824943,0.9654517679863186
R561,T125,0.13047766440556963,0.9859260837386481
R562,T020,0.7136932695176488,0.6573466574208517
R563,T105,0.5075592544293909,0.310951525241261
R564,T037,0.7721121303514765,0.45687138195682175
R565,T069,0.8050966333762026,0.3242596460643282
R566,T113,0.6913906494844547,0.5439665794739871
R567,T111,0.03596779752053891,0.73333694276396
R568,T043,0.5222181409788044,0.5643066868962132
R569,T091,0.18431005689311508,0.48571096414591974
R570,T056,0.7967409514611643,0.3949436604380434
R571,T045,0.8460862758239687,0.009670711287665723
R572,T039,0.45621754847571516,0.6932871059349561
R573,T060,0.5083202111287516,0.6485357736418705
R574,T079,0.7425419792219968,0.12070681316094467
R575,T102,0.369089238583615,0.1192304004524386
R576,T075,0.7967360815245603,0.11617788592908607
R577,T082,0.9238989330770915,0.6155344371110378
R578,T034,0.39625693524980965,0.6945569543312431
R579,T019,0.15347722732815972,0.07678802227442616
R580,T120,0.16804525327610587,0.334035883311251
R581,T055,0.8687318850954943,0.06806883484043169
R582,T096,0.28087997084519034,0.81296057870842
R583,T114,0.22658182326277743,0.8517171868922874
R584,T006,0.2472685517050488,0.445476600319615
R585,T090,0.46805443142697023,0.3248247316711036
